#  b = [b0:  0.02868000, b1:  0.00080000, b2: -0.02788000]
#  a = [a0:  1.00000000, a1: -2.00000000, a2:  1.00000000]
#  index      real(x)      imag(x)      real(y)      imag(y)        error
     337   0.84227818   0.53904307   0.84423703   0.53596997   0.00364433
     338   0.64535862   0.76387972   0.64821368   0.76145846   0.00374351
     339   0.39078996   0.92047989   0.39432418   0.91897142   0.00384269
     340   0.10131247   0.99485463   0.10523327   0.99444759   0.00394187
     341  -0.19721515   0.98036021  -0.19349138   0.98110199   0.00379693
     342  -0.47812578   0.87829137  -0.47491509   0.88003165   0.00365201
     343  -0.71632600   0.69776577  -0.71371955   0.70043159   0.00372831
     344  -0.89053762   0.45490959  -0.88880396   0.45828763   0.00379691
     345  -0.98519856   0.17141688  -0.98452729   0.17523147   0.00387321
     346  -0.99185294  -0.12738833  -0.99234831  -0.12347000   0.00394953
     347  -0.90990621  -0.41481405  -0.91151547  -0.41126582   0.00389610
     348  -0.74667865  -0.66518497  -0.74915344  -0.66239655   0.00372825
     349  -0.51675111  -0.85613567  -0.51997852  -0.85417932   0.00377406
     350  -0.24066286  -0.97060877  -0.24436864  -0.96968240   0.00381982
     351   0.05692355  -0.99837852   0.05305619  -0.99859154   0.00387322
     352   0.34942502  -0.93696433   0.34575039  -0.93832654   0.00391902
     353   0.61071277  -0.79185218   0.60766542  -0.79419315   0.00384272
     354   0.81744629  -0.57600480   0.81534171  -0.57898003   0.00364436
     355   0.95115829  -0.30870363   0.95001978  -0.31218967   0.00366724
     356   0.99990439  -0.01382629   0.99984658  -0.01751596   0.00369012
     357   0.95933026   0.28228611   0.96040368   0.27861229   0.00382743
     358   0.83306026   0.55318224   0.83518404   0.54997063   0.00385032
     359   0.63237399   0.77466327   0.63536966   0.77220815   0.00387321
     360   0.37519845   0.92694449   0.37891299   0.92543232   0.00401054
     361   0.08450690   0.99642289   0.08828203   0.99609554   0.00378930
     362  -0.21373355   0.97689199  -0.21024661   0.97764838   0.00356803
     363  -0.49288145   0.87009650  -0.48967400   0.87190562   0.00368247
     364  -0.72800082   0.68557626  -0.72547650   0.68824691   0.00367487
     365  -0.89808875   0.43981433  -0.89646643   0.44311169   0.00367484
     366  -0.98795140   0.15476429  -0.98735785   0.15850683   0.00378930
     367  -0.98956156  -0.14411065  -0.99009949  -0.14036743   0.00378167
     368  -0.90277535  -0.43011236  -0.90444756  -0.42658490   0.00390376
     369  -0.73534530  -0.67769265  -0.73798007  -0.67482251   0.00389613
     370  -0.50222766  -0.86473542  -0.50558639  -0.86277598   0.00388850
     371  -0.22424667  -0.97453243  -0.22814582  -0.97362697   0.00400291
     372   0.07376605  -0.99727559   0.07001700  -0.99754578   0.00375877
     373   0.36518931  -0.93093330   0.36180848  -0.93225247   0.00362910
     374   0.62399065  -0.78143179   0.62117457  -0.78367221   0.00359858
     375   0.82705164  -0.56212592   0.82497174  -0.56517404   0.00369013
     376   0.95623308  -0.29260603   0.95515811  -0.29609621   0.00365198
     377   0.99999535   0.00305204   0.99999976  -0.00069148   0.00374352
     378   0.95442921   0.29843748   0.95553070   0.29489163   0.00371299
